,date,country,GDP,year,quarter
255,2011-12-31,中国,8.8,2011,4
256,2012-03-31,中国,8.1,2012,1
257,2012-06-30,中国,7.7,2012,2
258,2012-09-30,中国,7.5,2012,3
259,2012-12-31,中国,8.1,2012,4
260,2013-03-31,中国,7.9,2013,1
261,2013-06-30,中国,7.6,2013,2
262,2013-09-30,中国,7.9,2013,3
263,2013-12-31,中国,7.7,2013,4
264,2014-03-31,中国,7.5,2014,1
265,2014-06-30,中国,7.6,2014,2
266,2014-09-30,中国,7.2,2014,3
267,2014-12-31,中国,7.3,2014,4
268,2015-03-31,中国,7.1,2015,1
269,2015-06-30,中国,7.1,2015,2
270,2015-09-30,中国,7,2015,3
271,2015-12-31,中国,6.9,2015,4
272,2016-03-31,中国,6.9,2016,1
273,2016-06-30,中国,6.8,2016,2
274,2016-09-30,中国,6.8,2016,3
275,2016-12-31,中国,6.9,2016,4
276,2017-03-31,中国,7,2017,1
277,2017-06-30,中国,7,2017,2
278,2017-09-30,中国,6.9,2017,3
279,2017-12-31,中国,6.8,2017,4
280,2018-03-31,中国,6.9,2018,1
281,2018-06-30,中国,6.9,2018,2
282,2018-09-30,中国,6.7,2018,3
283,2018-12-31,中国,6.5,2018,4
284,2019-03-31,中国,6.3,2019,1
285,2019-06-30,中国,6,2019,2
286,2019-09-30,中国,5.9,2019,3
287,2019-12-31,中国,5.8,2019,4
288,2020-03-31,中国,-6.9,2020,1
289,2020-06-30,中国,3.1,2020,2
290,2020-09-30,中国,4.8,2020,3
291,2020-12-31,中国,6.4,2020,4
292,2021-03-31,中国,18.7,2021,1
293,2021-06-30,中国,8.3,2021,2
294,2021-09-30,中国,5.2,2021,3
295,2021-12-31,中国,4.3,2021,4
541,2006-12-31,美国,2.635,2006,4
542,2007-03-31,美国,1.577,2007,1
543,2007-06-30,美国,1.934,2007,2
544,2007-09-30,美国,2.3684,2007,3
545,2007-12-31,美国,2.1332,2007,4
546,2008-03-31,美国,1.3924,2008,1
547,2008-06-30,美国,1.3761,2008,2
548,2008-09-30,美国,0.2659,2008,3
549,2008-12-31,美国,-2.5409,2008,4
551,2009-06-30,美国,-3.9792,2009,2
552,2009-09-30,美国,-3.1327,2009,3
553,2009-12-31,美国,0.1055,2009,4
554,2010-03-31,美国,1.745,2010,1
555,2010-06-30,美国,2.9141,2010,2
556,2010-09-30,美国,3.3443,2010,3
557,2010-12-31,美国,2.7759,2010,4
559,2011-06-30,美国,1.7434,2011,2
560,2011-09-30,美国,0.9424,2011,3
561,2011-12-31,美国,1.543,2011,4
563,2012-06-30,美国,2.4033,2012,2
564,2012-09-30,美国,2.5741,2012,3
565,2012-12-31,美国,1.552,2012,4
566,2013-03-31,美国,1.7009,2013,1
567,2013-06-30,美国,1.5202,2013,2
568,2013-09-30,美国,2.237,2013,3
569,2013-12-31,美国,3.0086,2013,4
570,2014-03-31,美国,1.651,2014,1
571,2014-06-30,美国,2.6889,2014,2
572,2014-09-30,美国,3.0593,2014,3
573,2014-12-31,美国,2.6859,2014,4
574,2015-03-31,美国,3.969,2015,1
575,2015-06-30,美国,3.2789,2015,2
576,2015-09-30,美国,2.4475,2015,3
577,2015-12-31,美国,2.12,2015,4
578,2016-03-31,美国,1.7952,2016,1
579,2016-06-30,美国,1.4934,2016,2
580,2016-09-30,美国,1.8057,2016,3
581,2016-12-31,美国,2.1819,2016,4
582,2017-03-31,美国,2.0872,2017,1
583,2017-06-30,美国,2.3302,2017,2
584,2017-09-30,美国,2.4112,2017,3
585,2017-12-31,美国,2.9941,2017,4
586,2018-03-31,美国,3.3292,2018,1
587,2018-06-30,美国,3.2993,2018,2
588,2018-09-30,美国,3.1301,2018,3
589,2018-12-31,美国,2.125,2018,4
590,2019-03-31,美国,1.8514,2019,1
591,2019-06-30,美国,2.1538,2019,2
592,2019-09-30,美国,2.6701,2019,3
593,2019-12-31,美国,3.1825,2019,4
594,2020-03-31,美国,1.2265,2020,1
595,2020-06-30,美国,-7.5285,2020,2
596,2020-09-30,美国,-1.4689,2020,3
597,2020-12-31,美国,-1.0835,2020,4
598,2021-03-31,美国,1.5722,2021,1
599,2021-06-30,美国,11.9502,2021,2
600,2021-09-30,美国,4.7353,2021,3
601,2021-12-31,美国,5.4212,2021,4
602,2022-03-31,美国,3.5654,2022,1
603,2022-06-30,美国,1.871,2022,2
604,2022-09-30,美国,1.713,2022,3
840,2005-03-31,德国,0.2,2005,1
841,2005-06-30,德国,0.2,2005,2
842,2005-09-30,德国,1.3,2005,3
843,2005-12-31,德国,1.9,2005,4
844,2006-03-31,德国,2.9,2006,1
845,2006-06-30,德国,4.1,2006,2
846,2006-09-30,德国,4,2006,3
847,2006-12-31,德国,5.1,2006,4
848,2007-03-31,德国,4.1,2007,1
849,2007-06-30,德国,3.2,2007,2
850,2007-09-30,德国,3,2007,3
851,2007-12-31,德国,2.1,2007,4
852,2008-03-31,德国,2.7,2008,1
853,2008-06-30,德国,1.6,2008,2
854,2008-09-30,德国,0.4,2008,3
855,2008-12-31,德国,-1.8,2008,4
856,2009-03-31,德国,-7,2009,1
857,2009-06-30,德国,-6.7,2009,2
858,2009-09-30,德国,-5.5,2009,3
859,2009-12-31,德国,-3.3,2009,4
860,2010-03-31,德国,2.3,2010,1
861,2010-06-30,德国,4.4,2010,2
862,2010-09-30,德国,4.7,2010,3
863,2010-12-31,德国,4.8,2010,4
864,2011-03-31,德国,5.9,2011,1
865,2011-06-30,德国,3.7,2011,2
866,2011-09-30,德国,3.8,2011,3
867,2011-12-31,德国,2.6,2011,4
868,2012-03-31,德国,0.9,2012,1
869,2012-06-30,德国,1,2012,2
870,2012-09-30,德国,0.4,2012,3
871,2012-12-31,德国,0.2,2012,4
872,2013-03-31,德国,-0.4,2013,1
873,2013-06-30,德国,0.5,2013,2
874,2013-09-30,德国,0.7,2013,3
875,2013-12-31,德国,1.5,2013,4
876,2014-03-31,德国,2.9,2014,1
877,2014-06-30,德国,1.8,2014,2
878,2014-09-30,德国,1.8,2014,3
879,2014-12-31,德国,2.3,2014,4
880,2015-03-31,德国,0.8,2015,1
881,2015-06-30,德国,1.6,2015,2
882,2015-09-30,德国,1.5,2015,3
883,2015-12-31,德国,1.1,2015,4
884,2016-03-31,德国,2.5,2016,1
885,2016-06-30,德国,2.2,2016,2
886,2016-09-30,德国,2,2016,3
887,2016-12-31,德国,1.9,2016,4
888,2017-03-31,德国,2.3,2017,1
889,2017-06-30,德国,2.7,2017,2
890,2017-09-30,德国,3.2,2017,3
891,2017-12-31,德国,3.8,2017,4
892,2018-03-31,德国,1.9,2018,1
893,2018-06-30,德国,1.8,2018,2
894,2018-09-30,德国,0.2,2018,3
895,2018-12-31,德国,0.1,2018,4
896,2019-03-31,德国,1.4,2019,1
897,2019-06-30,德国,0.6,2019,2
898,2019-09-30,德国,1.5,2019,3
899,2019-12-31,德国,0.9,2019,4
900,2020-03-31,德国,-1.5,2020,1
901,2020-06-30,德国,-10.6,2020,2
902,2020-09-30,德国,-2.6,2020,3
903,2020-12-31,德国,-2.1,2020,4
904,2021-03-31,德国,-1.6,2021,1
905,2021-06-30,德国,10.8,2021,2
906,2021-09-30,德国,2.4,2021,3
907,2021-12-31,德国,1.6,2021,4
908,2022-03-31,德国,4,2022,1
909,2022-06-30,德国,1.6,2022,2
1165,2009-12-31,日本,-1.7,2009,4
1169,2010-12-31,日本,3,2010,4
1171,2011-06-30,日本,-0.9,2011,2
1172,2011-09-30,日本,-0.3,2011,3
1173,2011-12-31,日本,0.2,2011,4
1174,2012-03-31,日本,3,2012,1
1175,2012-06-30,日本,2.8,2012,2
1176,2012-09-30,日本,-0.1,2012,3
1177,2012-12-31,日本,-0.1,2012,4
1178,2013-03-31,日本,0,2013,1
1179,2013-06-30,日本,1.8,2013,2
1192,2016-09-30,日本,0.5,2016,3
1193,2016-12-31,日本,1,2016,4
1194,2017-03-31,日本,1,2017,1
1195,2017-06-30,日本,1.4,2017,2
1196,2017-09-30,日本,2,2017,3
1197,2017-12-31,日本,2.2,2017,4
1198,2018-03-31,日本,1.4,2018,1
1199,2018-06-30,日本,1.3,2018,2
1200,2018-09-30,日本,0,2018,3
1201,2018-12-31,日本,-0.1,2018,4
1202,2019-03-31,日本,-0.2,2019,1
1203,2019-06-30,日本,0,2019,2
1204,2019-09-30,日本,0.6,2019,3
1205,2019-12-31,日本,-2,2019,4
1206,2020-03-31,日本,-1.7,2020,1
1207,2020-06-30,日本,-9.7,2020,2
1208,2020-09-30,日本,-5,2020,3
1209,2020-12-31,日本,-0.4,2020,4
1210,2021-03-31,日本,-0.6,2021,1
1211,2021-06-30,日本,8,2021,2
1212,2021-09-30,日本,2.3,2021,3
1213,2021-12-31,日本,1.6,2021,4
1214,2022-03-31,日本,0.7,2022,1
1215,2022-06-30,日本,1.7,2022,2
1216,2022-09-30,日本,1.7,2022,3
1762,2006-03-31,英国,3.1,2006,1
1763,2006-06-30,英国,2.64,2006,2
1764,2006-09-30,英国,2.12,2006,3
1765,2006-12-31,英国,1.7,2006,4
1766,2007-03-31,英国,2.13,2007,1
1767,2007-06-30,英国,2.48,2007,2
1768,2007-09-30,英国,2.89,2007,3
1769,2007-12-31,英国,2.97,2007,4
1770,2008-03-31,英国,2.5,2008,1
1771,2008-06-30,英国,1.26,2008,2
1772,2008-09-30,英国,-0.96,2008,3
1773,2008-12-31,英国,-3.64,2008,4
1774,2009-03-31,英国,-6.06,2009,1
1775,2009-06-30,英国,-5.91,2009,2
1776,2009-09-30,英国,-4.38,2009,3
1777,2009-12-31,英国,-2.01,2009,4
1778,2010-03-31,英国,0.96,2010,1
1779,2010-06-30,英国,2.4,2010,2
