,date,country,GDP,quarter,ADM0_ISO,sum,mean,std,year
84,2013-03-31,中国,7.9,1,CHN,22330055.85923377,0.42879497429496133,2.806715309656975,2013
85,2013-06-30,中国,7.6,2,CHN,17722551.769656446,0.32865479281007987,2.572944129431485,2013
86,2013-09-30,中国,7.9,3,CHN,18190130.170049824,0.3426312593409894,3.5910200676335577,2013
87,2013-12-31,中国,7.7,4,CHN,28702655.91986868,0.5329945454894097,3.410763874426515,2013
88,2014-03-31,中国,7.5,1,CHN,22994343.47940329,0.4352362890292352,3.4575678489501893,2014
89,2014-06-30,中国,7.6,2,CHN,15732515.881021166,0.32878009132614633,2.518045063119943,2014
90,2014-09-30,中国,7.2,3,CHN,21158662.22188288,0.38913068287411384,2.470927707651947,2014
91,2014-12-31,中国,7.3,4,CHN,25539418.11316396,0.5546309668486203,3.646750107567877,2014
92,2015-03-31,中国,7.1,1,CHN,27062572.5380086,0.4996884929080037,2.680761053265716,2015
93,2015-06-30,中国,7.1,2,CHN,15230938.061810276,0.3060017381198174,2.583407945173104,2015
94,2015-09-30,中国,7,3,CHN,16873885.411260422,0.33395724289798245,2.5240144374104596,2015
95,2015-12-31,中国,6.9,4,CHN,25128212.63470466,0.48060372429156867,3.4989156782665543,2015
96,2016-03-31,中国,6.9,1,CHN,20778134.611059237,0.4748028126290156,3.1886177203790584,2016
97,2016-06-30,中国,6.8,2,CHN,15479207.146643445,0.3449773374229695,2.4660708407095675,2016
98,2016-09-30,中国,6.8,3,CHN,17891152.03851671,0.3785250181465624,3.5674228839849125,2016
99,2016-12-31,中国,6.9,4,CHN,25858446.95525408,0.5024941547106303,3.202433607738406,2016
100,2017-03-31,中国,7,1,CHN,32122131.21498399,0.5871969169004708,3.0725896734908704,2017
101,2017-06-30,中国,7,2,CHN,24424963.784119356,0.44633135181004846,2.4458490111091753,2017
102,2017-09-30,中国,6.9,3,CHN,30050548.31480004,0.5487940082512229,2.5614596129500415,2017
103,2017-12-31,中国,6.8,4,CHN,36312509.34424885,0.6628458230252222,2.922999263563126,2017
104,2018-03-31,中国,6.9,1,CHN,34402698.71835196,0.6285690892701468,3.0501378622166495,2018
105,2018-06-30,中国,6.9,2,CHN,24638185.84667511,0.2421826923750425,1.8344509732058885,2018
